town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,anomaly,anomaly_score,PC1,PC2
Newbury,Orange,3,Moderate - Mixed Profile,37.5,96.0,74534,0,0.17294082210401168,0.5974385731221397,-0.8976730537412507
South Strafford,Orange,5,Low Hardship - Affluent Areas,23.02,126.0,74534,0,0.17392076901571585,-1.6044360618248747,-1.353533443873133
Sharon,Windsor,3,Moderate - Mixed Profile,37.65,170.0,69492,0,0.174014590858516,0.8258251796471532,-0.8176614974323055
Fairlee,Orange,5,Low Hardship - Affluent Areas,25.86,116.0,74534,0,0.17563960882848573,-1.1352200903241736,-1.2828740012269533
East Corinth,Orange,3,Moderate - Mixed Profile,38.02,263.0,74534,0,0.1767503151222906,0.5414486949857058,-0.5391066870352844
Tunbridge,Orange,3,Moderate - Mixed Profile,27.52,149.0,74534,0,0.17705818196577283,-0.9542352471216846,-1.14323739419886
Berlin,Washington,3,Moderate - Mixed Profile,35.57,194.0,77278,0,0.1791746233108687,0.0795425366012118,-0.7177382160850929
Washington,Orange,3,Moderate - Mixed Profile,37.29,118.0,74534,0,0.17931778698385636,0.4625382664092288,-0.8300744852731824
Bakersfield,Franklin,3,Moderate - Mixed Profile,36.11,144.0,73633,0,0.1812635803299149,0.6950053867056455,-0.9408825239442968
Montgomery Center,Franklin,3,Moderate - Mixed Profile,37.09,151.0,73633,0,0.18137442423381245,0.8265522772824573,-0.8876940722819006
Waitsfield,Washington,3,Moderate - Mixed Profile,29.76,168.0,77278,0,0.18185872474561698,-0.8028981752056663,-0.9673186615014396
Franklin,Franklin,3,Moderate - Mixed Profile,42.86,140.0,73633,0,0.1822716677133554,1.7006984853998794,-0.702684635899835
