town,county,total_enrollment,num_schools,single_school_town,avg_school_enrollment,enrollment_category,num_elementary,num_middle,num_high,num_combined,weighted_frpl_rate,free_lunch_rate,reduced_lunch_rate,elementary_frpl_rate,middle_frpl_rate,high_frpl_rate,school_frpl_variance,school_frpl_range,min_school_frpl_rate,max_school_frpl_rate,county_poverty_rate,county_median_income,county_snap_rate,frpl_vs_county_poverty,frpl_above_county_avg,county_income_zscore,frpl_zscore,hardship_score,high_frpl_flag,very_high_frpl_flag,low_confidence_flag
Huntington,Chittenden,116.0,1,1,116.0,small,1,0,0,0,12.93,6.03,6.9,12.931034482758621,,,0.0,0.0,12.9,12.9,11.2,89494,7.6,1.73,1,1.935,-1.311,-3.246,0,0,0
Hyde Park,Lamoille,939.0,3,0,313.0,large,1,1,1,0,31.63,25.88,5.75,35.678391959798994,34.73282442748092,28.24267782426778,16.58,7.5,28.2,35.7,8.6,69886,8.7,23.03,1,-0.223,-0.071,0.152,0,0,0
Irasburg,Orleans,121.0,1,1,121.0,small,1,0,0,0,53.72,42.98,10.74,53.71900826446281,,,0.0,0.0,53.7,53.7,9.8,63981,13.7,43.92,1,-0.873,1.393,2.266,1,0,0
Island Pond,Essex,135.0,1,1,135.0,small,1,0,0,0,62.22,53.33,8.89,62.22222222222222,,,0.0,0.0,62.2,62.2,13.2,55247,16.2,49.02,1,-1.834,1.957,3.791,1,0,0
Jamaica,Windham,26.0,1,1,26.0,very_small,1,0,0,0,30.77,30.77,0.0,30.76923076923077,,,0.0,0.0,30.8,30.8,12.6,65473,13.5,18.17,1,-0.709,-0.128,0.581,0,0,1
Jay,Orleans,80.0,1,1,80.0,small,1,0,0,0,42.5,28.75,13.75,42.5,,,0.0,0.0,42.5,42.5,9.8,63981,13.7,32.7,1,-0.873,0.649,1.522,0,0,0
Jeffersonville,Chittenden,336.0,1,1,336.0,medium,1,0,0,0,21.13,17.26,3.87,21.13095238095238,,,0.0,0.0,21.1,21.1,11.2,89494,7.6,9.93,1,1.935,-0.768,-2.703,0,0,0
Jericho,Chittenden,1534.0,3,0,511.33,very_large,1,1,1,0,6.06,4.82,1.24,2.70935960591133,6.043956043956044,7.853403141361256,6.92,5.2,2.7,7.9,11.2,89494,7.6,-5.14,0,1.935,-1.767,-3.702,0,0,0
Johnson,Lamoille,217.0,1,1,217.0,medium,1,0,0,0,49.31,42.86,6.45,49.30875576036866,,,0.0,0.0,49.3,49.3,8.6,69886,8.7,40.71,1,-0.223,1.101,1.324,0,0,0
Killington,Rutland,111.0,1,1,111.0,small,1,0,0,0,12.61,12.61,0.0,12.612612612612612,,,0.0,0.0,12.6,12.6,11.4,62641,10.6,1.21,1,-1.021,-1.333,-0.312,0,0,0
Lake Elmore,Lamoille,17.0,1,1,17.0,very_small,1,0,0,0,29.41,23.53,5.88,29.411764705882355,,,0.0,0.0,29.4,29.4,8.6,69886,8.7,20.81,1,-0.223,-0.219,0.004,0,0,1
Lincoln,Addison,70.0,1,1,70.0,small,1,0,0,0,24.29,11.43,12.86,24.285714285714285,,,0.0,0.0,24.3,24.3,7.5,85870,9.0,16.79,1,1.536,-0.558,-2.094,0,0,0
